date,HRV_ms,RHR_bpm,Sleep_hours,Steps,VO2_max,Stress_index
2023-05-19,46.4,76,7.07,7357,37.0,59.2
2023-05-31,39.8,79,6.88,7238,37.3,55.4
2023-01-04,26.5,87,6.02,4963,29.9,74.0
2023-05-16,41.6,78,6.76,6916,37.2,59.8
2023-03-21,34.9,82,7.27,5094,34.0,72.7
2023-06-13,43.1,78,6.84,7990,38.9,51.8
2023-06-18,45.8,77,6.65,7594,38.7,57.3
2023-04-13,33.9,83,6.1,6157,35.2,63.6
2023-05-16,41.6,78,6.76,6916,37.2,64.2
2023-01-08,20.4,90,5.81,4930,29.9,78.5
2023-03-08,28.7,83,6.81,5631,33.3,74.0
2023-01-20,25.3,85,6.27,4105,30.8,72.7
2023-07-05,47.4,77,7.27,7271,39.2,50.8
2023-01-23,28.6,90,5.88,4914,34.7,75.1
2023-07-02,43.1,74,6.95,7348,39.5,58.5
2023-05-27,38.7,78,6.77,7536,38.5,56.2
2023-02-24,34.2,84,6.22,5872,36.5,69.2
2023-07-12,47.1,74,7.31,7963,38.4,50.8
2023-01-25,28.3,87,6.16,4704,30.8,80.0
2023-03-16,30.5,86,6.08,5174,34.9,71.2
2023-01-01,23.5,91,5.32,4699,30.9,80.2
2023-01-03,24.0,92,5.82,4794,30.2,78.8
2023-05-07,37.3,82,6.15,6571,35.8,62.4
2023-07-10,47.7,75,7.16,7763,39.8,53.5
2023-04-10,33.9,83,6.22,6319,35.2,70.9
2023-07-04,47.2,74,7.15,7194,38.2,51.0
2023-02-08,24.4,86,5.56,4637,31.7,72.1
2023-03-27,32.5,84,6.77,5794,35.4,69.9
2023-01-03,24.0,92,5.82,4794,30.2,77.9
2023-05-13,39.6,80,6.88,6107,36.5,61.1
2023-03-24,33.5,86,6.28,6363,35.4,68.2
2023-02-17,27.0,85,5.85,5490,33.9,67.1
2023-07-15,48.1,77,7.27,7940,39.5,54.6
2023-06-22,43.9,79,6.77,7646,38.6,56.2
2023-04-13,30.9,83,6.84,7336,36.7,59.4
2023-02-28,30.0,86,6.04,5653,32.4,71.1
2023-06-15,47.9,80,6.77,7194,39.5,63.7
2023-06-01,39.0,81,6.82,7607,36.1,56.2
2023-05-26,40.3,78,6.57,7357,36.4,63.8
2023-05-20,43.3,78,6.52,6452,37.8,62.0
2023-01-23,28.6,90,5.88,4914,33.4,75.1
2023-04-07,34.2,84,6.38,6306,34.0,66.0
2023-05-10,36.2,81,6.88,6567,35.1,62.3
2023-04-11,36.3,83,6.44,6265,35.8,66.0
2023-03-25,32.8,82,6.43,5752,34.0,72.5
2023-05-16,43.6,78,6.32,7494,36.1,64.7
2023-05-01,39.0,84,6.34,6886,35.0,58.4
2023-02-14,27.3,85,6.25,4563,31.7,74.8
2023-05-11,40.7,81,7.01,6456,37.9,62.2
2023-04-03,35.2,84,6.46,6116,35.8,65.9
2023-03-05,28.9,83,6.81,5499,32.6,68.6
2023-07-08,47.7,71,6.86,7266,39.8,53.5
2023-01-25,28.3,87,6.16,4704,30.8,77.2
2023-03-24,34.6,82,6.23,6363,35.6,70.2
2023-03-22,33.9,85,6.32,5819,37.3,70.2
2023-02-07,27.0,88,6.04,4494,30.9,77.1
2023-03-30,34.9,83,6.93,5836,35.0,67.5
2023-06-28,45.1,77,6.61,7648,36.3,51.8
2023-04-17,38.5,83,6.36,5953,36.0,63.7
2023-02-12,25.5,90,5.62,5294,32.5,72.1
2023-02-10,24.2,91,6.02,5499,32.0,77.0
2023-01-11,24.6,90,6.08,4491,30.3,80.6
2023-03-13,27.1,81,5.61,6384,34.8,63.4
2023-04-09,33.7,84,6.23,6191,36.5,64.1
2023-03-09,33.8,81,6.22,5733,34.9,69.9
2023-03-02,28.7,86,6.91,5364,33.2,72.5
2023-02-21,30.9,88,6.45,5245,32.7,73.5
2023-01-26,28.3,90,6.16,4984,31.1,74.0
2023-06-16,46.9,77,6.77,7543,40.3,54.2
2023-05-24,40.7,77,6.76,7136,36.5,59.7
2023-04-25,36.8,83,6.43,6005,33.7,61.1
2023-06-04,44.1,78,6.98,6827,38.4,54.0
2023-07-18,49.4,78,6.86,8018,40.5,52.9
2023-02-19,29.8,87,5.83,5562,31.9,72.3
2023-07-17,49.1,76,6.89,8026,40.5,52.8
2023-05-17,40.3,76,7.07,6675,35.8,63.8
2023-06-09,43.4,77,6.79,6906,39.5,54.6
2023-05-16,40.6,78,6.79,6901,37.1,59.8
2023-05-02,34.4,81,6.81,6264,35.1,65.8
2023-05-22,40.3,78,6.77,7251,36.8,63.8
2023-01-15,28.7,88,5.96,4499,31.7,81.4
2023-05-13,40.1,78,6.96,6397,35.2,65.6
2023-05-08,37.5,82,6.73,6522,36.4,63.8
2023-04-06,34.2,83,6.96,6191,35.5,65.7
2023-02-20,32.2,83,6.13,5509,30.9,70.6
2023-03-04,28.9,84,6.94,5363,32.6,71.3
2023-06-08,44.2,78,6.57,7565,38.4,62.8
2023-04-04,36.2,83,7.08,6372,35.8,66.1
2023-05-07,37.3,78,6.47,6799,36.4,65.8
2023-05-03,37.4,78,6.44,6116,36.4,62.0
2023-02-26,29.3,88,5.87,5149,32.0,71.2
2023-03-13,30.7,88,6.08,5164,32.5,67.3
2023-06-03,42.9,77,6.84,7284,39.5,56.2
2023-04-20,39.6,81,6.32,6452,37.6,67.2
2023-06-13,44.2,77,6.88,7112,39.1,59.4
2023-02-06,27.3,86,5.56,4647,31.8,74.8
2023-04-25,36.8,83,6.43,6006,34.2,62.0
2023-01-19,25.3,88,6.28,4387,30.8,72.7
2023-04-18,32.2,81,6.35,6381,35.0,66.0
2023-01-17,25.7,85,6.18,4379,32.5,72.3
2023-05-21,36.6,78,7.04,7053,35.8,58.8
2023-03-28,34.9,83,6.51,5832,34.1,70.2
2023-02-01,29.1,88,5.41,5786,30.6,68.9
2023-04-30,38.4,80,6.96,6880,36.2,65.6
2023-07-18,49.6,77,7.04,8026,37.3,51.8
2023-04-15,33.5,85,6.2,6489,35.4,66.0
2023-01-30,25.8,88,5.89,4758,31.8,72.3
2023-02-05,24.4,86,6.08,4627,31.7,74.1
2023-06-04,40.2,78,6.98,6619,36.1,59.4
2023-03-24,33.8,83,6.44,6162,34.2,70.2
2023-06-15,46.5,76,7.04,7575,38.4,59.0
2023-03-25,34.8,83,6.73,5752,35.4,69.9
2023-02-15,27.3,86,6.32,5004,32.8,72.7
2023-03-09,32.9,83,6.52,5732,33.7,66.5
2023-06-20,44.1,77,7.11,7254,38.7,58.8
2023-05-05,39.6,81,6.84,6196,37.5,59.1
2023-04-20,40.9,80,6.86,6329,37.7,67.6
2023-07-14,48.3,78,7.56,7802,40.8,58.5
2023-02-20,34.1,84,6.14,5509,32.9,71.2
2023-05-18,41.9,77,6.65,6671,37.6,56.4
2023-05-18,44.6,79,6.48,7357,36.5,62.4
2023-01-15,26.4,87,6.2,4086,29.9,76.8
2023-03-19,32.6,83,6.78,5752,34.0,70.2
2023-05-02,34.4,81,6.81,6103,35.1,65.8
2023-02-09,24.5,88,6.06,5265,30.8,73.3
2023-01-19,25.2,88,6.27,4453,30.8,73.7
2023-06-27,44.1,73,7.41,7816,38.3,54.0
2023-05-06,39.3,79,6.71,6916,36.8,59.1
2023-05-01,34.0,81,6.34,7049,35.0,66.0
2023-01-02,20.3,91,5.63,4462,29.5,80.6
2023-03-01,29.5,85,6.14,5633,33.6,66.3
2023-01-20,25.3,88,6.28,4336,29.8,73.7
2023-05-24,38.7,77,6.56,7357,36.5,55.8
2023-02-08,24.4,86,5.56,4637,32.9,76.2
2023-07-17,47.4,78,7.0,8196,37.6,52.3
2023-01-09,24.6,90,5.99,4453,30.3,80.2
2023-02-16,28.3,83,6.54,5080,33.4,72.7
2023-02-05,24.4,88,6.06,4644,31.7,72.1
2023-02-03,24.0,92,5.66,5737,30.6,75.7
2023-01-03,24.0,92,5.82,4794,30.2,76.2
2023-03-08,30.1,89,5.68,5851,34.7,66.7
2023-06-25,43.5,74,7.11,7909,37.6,55.6
2023-07-10,47.7,74,7.16,7663,39.8,53.5
2023-04-10,34.6,83,6.08,6499,35.6,66.1
2023-05-29,40.1,77,7.11,7239,35.5,59.4
2023-01-06,26.4,88,6.02,4494,29.9,78.5
2023-05-16,41.6,78,6.76,7090,37.2,62.3
2023-05-04,36.2,78,6.14,6791,36.1,65.8
2023-07-02,47.3,75,6.96,7294,39.2,57.9
2023-03-05,29.1,82,6.84,5130,34.7,68.1
2023-04-26,36.0,82,6.43,6522,35.6,65.7
2023-02-26,29.3,88,6.16,5149,32.0,68.8
2023-02-10,25.8,86,6.1,5225,31.7,77.3
2023-02-08,24.4,86,6.49,5428,32.9,74.6
2023-04-22,36.3,82,6.57,6442,35.8,64.1
2023-01-16,24.2,90,5.68,4539,29.3,76.6
2023-02-22,28.3,84,5.87,5144,32.0,73.7
2023-05-18,40.6,77,6.66,7326,36.3,64.3
2023-02-20,32.2,82,6.13,5509,30.9,70.6
2023-03-20,34.1,85,6.82,5909,34.7,68.1
2023-06-11,43.3,80,7.56,7646,39.4,63.8
2023-03-04,27.1,81,6.45,5162,34.8,56.1
2023-03-08,30.1,86,6.45,5148,35.7,65.5
2023-04-04,36.2,82,6.84,6108,35.1,65.7
2023-03-29,32.6,83,6.74,5832,34.0,67.3
2023-05-19,46.7,81,6.76,7253,37.3,63.8
2023-05-01,38.3,81,6.14,7294,37.4,65.6
2023-03-12,29.9,84,5.72,5784,31.9,72.5
2023-03-19,32.6,84,5.96,5632,34.0,67.7
2023-01-18,25.7,90,5.95,4925,31.7,74.3
2023-02-02,25.9,88,5.94,5057,30.6,76.8
2023-05-01,38.3,81,6.14,7294,37.4,65.6
2023-06-13,43.1,80,7.24,7346,36.9,55.6
2023-04-25,36.8,83,6.43,6328,35.6,63.6
2023-02-24,34.2,83,6.12,5862,34.1,72.0
2023-06-02,39.9,79,6.94,6941,36.4,54.2
2023-03-16,30.4,88,6.08,6148,35.6,66.7
2023-07-09,47.4,75,7.19,7961,39.0,51.0
2023-03-13,28.6,85,6.12,5499,32.3,67.7
2023-02-27,30.4,86,6.1,5357,34.4,72.1
2023-04-14,34.6,84,6.16,6137,33.5,65.8
2023-02-23,26.7,88,6.47,5376,32.5,73.1
2023-02-22,27.9,88,5.97,4677,31.9,73.5
2023-03-18,30.1,88,6.45,6148,33.6,67.6
2023-04-16,38.3,81,7.08,6573,35.8,64.1
2023-06-01,39.0,82,7.31,7107,36.1,51.8
2023-01-03,24.4,90,5.88,4794,29.9,75.8
2023-06-04,39.0,79,6.82,6833,37.4,51.8
2023-01-15,28.7,89,5.96,4499,31.7,81.4
2023-04-27,37.4,83,6.77,6526,36.4,67.1
2023-01-07,21.2,91,5.52,5237,30.5,79.9
2023-01-02,20.3,92,5.63,4462,29.5,80.6
2023-05-29,40.1,77,7.11,7116,36.2,59.4
2023-02-09,24.5,89,5.59,5265,32.5,72.7
2023-04-25,36.8,82,6.43,6136,34.2,63.1
2023-02-02,25.9,88,5.94,4927,31.0,75.0
2023-03-27,34.5,79,6.27,5794,35.4,71.7
2023-05-14,39.6,81,7.04,7253,37.5,57.3
2023-06-28,46.6,80,7.2,7926,37.7,49.4
2023-01-06,26.4,88,6.02,4494,29.9,79.0
2023-01-25,28.3,87,6.16,4704,30.8,77.8
2023-04-01,33.0,84,6.43,6226,34.0,68.2
2023-06-27,45.4,78,7.11,7916,37.5,55.6
2023-07-02,43.1,74,7.31,7242,39.5,57.9
2023-03-16,30.5,87,6.16,5654,34.9,69.2
2023-02-11,30.7,88,6.08,5109,31.7,71.3
2023-02-20,33.9,85,6.17,5037,30.5,73.3
2023-02-08,28.7,86,6.54,4464,30.5,76.0
2023-07-04,47.2,74,6.98,7647,40.3,57.9
2023-05-06,37.4,83,6.73,6507,36.4,61.8
2023-06-07,43.4,77,6.71,7487,38.2,56.5
2023-07-09,48.1,77,6.89,7802,39.8,49.9
2023-01-05,26.4,87,5.89,4967,29.9,75.1
2023-01-18,25.7,86,5.95,4925,32.5,74.3
2023-04-11,34.2,81,6.78,6472,35.5,66.0
2023-07-17,47.4,77,7.1,8003,38.4,52.3
2023-05-16,42.2,80,6.44,7129,35.5,63.4
2023-07-06,48.0,77,7.27,7961,38.3,50.8
2023-02-06,27.0,88,5.66,4657,30.3,68.8
2023-01-14,21.4,90,5.72,4477,30.8,77.0
2023-04-15,37.3,81,6.36,6493,37.8,63.8
2023-01-09,21.4,91,5.89,4453,30.8,77.2
2023-07-11,47.4,77,7.0,8202,38.2,51.0
2023-02-26,28.3,84,5.87,5149,32.0,70.6
2023-02-13,27.3,87,5.67,5057,31.7,72.7
2023-06-16,43.6,78,6.2,7994,38.7,55.6
2023-04-18,35.6,84,6.36,6442,35.6,63.6
2023-02-25,30.5,88,6.06,5144,32.5,71.2
2023-07-11,47.4,74,6.87,7646,40.3,58.5
2023-05-27,40.1,76,6.25,7251,36.4,62.9
2023-05-12,38.5,78,6.4,6931,37.4,62.0
2023-03-05,28.9,83,6.92,5363,32.6,66.1
2023-02-19,29.8,86,5.83,4877,32.5,77.3
2023-02-01,29.1,88,5.41,5786,30.6,68.9
2023-03-03,29.4,85,6.41,5499,33.5,72.3
2023-03-14,29.1,85,6.14,5130,33.6,64.5
2023-01-26,24.2,90,6.39,5346,30.8,76.0
2023-01-27,28.3,85,5.69,4367,32.0,74.8
2023-01-04,24.4,92,5.81,4637,30.8,78.5
2023-02-05,25.5,86,6.06,5267,31.7,72.1
2023-01-12,25.5,92,5.52,4699,30.8,75.6
2023-06-12,45.7,78,6.57,7766,39.8,58.4
2023-06-18,45.7,79,7.2,7194,38.7,57.8
2023-01-17,24.3,87,6.28,4376,31.1,74.0
2023-06-20,45.6,78,7.0,7134,39.5,58.1
2023-03-18,30.5,87,6.16,5943,33.6,66.7
2023-07-04,47.2,74,7.15,7396,39.2,53.8
2023-04-05,36.2,83,6.84,6196,35.1,66.1
2023-05-06,37.3,81,6.46,7567,37.1,63.8
2023-01-29,25.8,88,6.31,4755,31.0,76.2
2023-06-23,47.1,78,7.27,7909,38.3,55.2
2023-05-03,35.2,79,6.46,6914,37.2,65.8
2023-03-29,34.6,82,7.01,6362,34.1,69.9
2023-02-04,25.9,88,6.07,5227,30.6,75.0
2023-07-07,48.5,76,7.17,7960,40.6,52.9
2023-05-30,39.7,79,6.67,7239,37.3,56.0
2023-05-07,37.3,82,6.16,6320,35.8,64.8
2023-02-25,29.3,87,5.95,5840,32.2,68.8
2023-04-29,37.3,82,6.95,7090,36.2,64.1
2023-02-01,29.1,88,5.41,5786,30.6,68.8
2023-02-07,24.4,86,6.49,5265,33.9,70.2
2023-05-18,40.6,77,6.64,7376,36.3,58.3
2023-01-04,21.2,92,5.83,5046,29.8,78.8
2023-01-28,25.3,86,6.2,5125,31.0,74.8
2023-06-04,41.6,78,6.95,6712,37.7,59.6
2023-04-21,37.9,81,6.45,6481,36.1,63.1
2023-03-14,28.9,85,6.51,5291,33.7,73.3
2023-07-04,48.3,75,6.97,7763,40.0,58.5
2023-03-01,29.4,87,5.86,5928,32.7,68.2
2023-04-25,36.8,83,6.43,6428,35.6,64.7
2023-06-16,45.5,77,7.0,7981,37.4,59.0
2023-06-19,47.7,74,6.88,7442,39.5,58.5
2023-05-30,38.7,78,6.67,7239,37.7,56.0
2023-03-06,30.7,82,6.81,5752,34.9,66.1
2023-07-18,47.9,74,7.06,7526,39.4,52.8
2023-01-01,23.5,91,5.32,4699,30.9,82.2
2023-03-13,25.5,86,5.85,6427,34.0,67.7
2023-06-25,42.7,74,7.01,7959,36.5,54.3
2023-06-05,47.6,76,6.76,7663,38.2,63.8
2023-02-28,31.8,86,6.04,5653,32.1,68.2
2023-04-16,33.8,81,6.25,6428,35.4,63.1
2023-07-03,43.1,74,6.95,7112,39.0,61.0
2023-01-28,25.3,86,5.67,4953,31.0,74.8
2023-01-20,25.6,87,5.95,4539,32.5,74.3
2023-03-02,25.6,85,6.08,5263,32.9,66.7
2023-04-15,33.5,83,6.5,6004,35.4,66.0
2023-07-07,47.4,79,6.86,7584,40.5,52.9
2023-07-10,47.7,73,7.16,7763,39.8,53.5
2023-05-19,43.4,78,6.77,6575,37.2,63.8
2023-01-28,24.3,90,6.5,4777,31.0,74.7
2023-01-12,23.3,91,5.54,4477,29.8,78.8
2023-05-02,34.4,90,6.43,6717,35.1,66.0
2023-05-21,38.7,77,6.66,6454,36.5,63.8
2023-01-26,24.2,90,6.33,4788,32.7,76.0
2023-06-14,46.7,77,6.66,7464,38.3,54.2
2023-03-05,29.1,83,6.31,6363,32.0,69.3
2023-01-21,24.3,91,6.56,5438,31.7,75.6
2023-01-03,24.0,92,5.82,4794,30.2,77.9
2023-06-05,43.1,77,6.95,7477,39.5,54.0
2023-06-20,44.0,78,7.0,7284,38.9,59.0
2023-04-21,32.6,82,6.72,5635,36.2,67.9
2023-01-02,20.3,91,5.63,4462,29.5,79.9
2023-06-06,43.4,76,6.75,7713,37.7,59.4
2023-06-27,46.3,76,6.4,8194,37.6,55.6
2023-07-09,43.4,74,7.2,7396,39.5,49.9
2023-04-20,39.6,81,6.32,6452,36.1,67.2
2023-05-28,39.7,75,6.77,6557,36.7,54.5
2023-04-17,36.3,82,6.57,6509,35.8,65.7
2023-02-02,25.9,88,5.94,5124,31.0,75.0
2023-05-18,42.7,77,6.32,7169,37.3,58.7
2023-02-07,24.4,91,5.57,5293,33.9,72.1
2023-02-01,29.1,90,5.41,5786,30.6,68.9
2023-01-09,20.4,90,5.88,4553,29.9,77.9
2023-03-06,30.0,88,6.03,5499,34.7,71.7
2023-02-05,25.5,86,6.23,5427,30.9,75.6
2023-07-13,48.1,75,6.89,7581,39.1,53.6
2023-01-23,28.6,90,5.88,4914,33.4,75.1
2023-07-18,48.0,75,6.86,7171,40.6,52.8
2023-06-21,44.2,77,7.57,7053,37.9,56.5
2023-03-17,32.6,83,6.36,5908,34.5,70.2
2023-05-04,39.6,84,6.84,6207,36.1,58.5
2023-04-20,38.3,81,6.72,6494,36.4,69.8
2023-06-04,43.1,78,6.95,7310,39.5,56.1
2023-07-14,47.7,74,7.07,8006,37.5,53.5
2023-05-16,40.6,79,6.76,6709,36.3,63.3
2023-04-03,35.2,85,6.42,6116,35.8,65.7
2023-04-19,36.0,81,6.57,6503,35.8,64.8
2023-06-20,45.6,76,7.0,7134,39.6,58.1
2023-01-26,24.2,90,5.89,4984,31.1,74.0
2023-04-12,36.3,83,6.44,6319,35.8,65.7
2023-07-09,47.4,75,7.29,7467,38.2,50.8
2023-06-29,46.6,74,7.4,8736,39.8,51.3
2023-03-22,33.9,84,6.32,6502,35.2,70.2
2023-07-06,47.5,75,6.86,7760,39.2,52.9
2023-05-26,40.7,77,6.77,7099,37.1,59.6
2023-05-23,37.5,79,6.95,6500,38.5,62.8
2023-06-23,44.1,78,7.48,7959,38.7,51.2
2023-06-06,44.6,77,6.76,7894,39.1,54.6
2023-07-03,43.1,74,7.77,7264,39.5,58.5
2023-06-22,45.7,79,7.01,7594,38.5,55.8
2023-05-06,39.3,81,6.91,6507,36.8,59.8
2023-07-04,48.3,76,7.18,7948,38.1,49.4
2023-06-05,42.9,77,6.76,7360,39.5,58.8
2023-06-25,41.7,74,7.26,7794,37.3,48.5
2023-03-16,28.9,82,6.81,5639,32.6,68.6
2023-04-18,34.2,80,6.48,6357,34.6,65.7
2023-03-09,30.1,88,6.11,5632,33.6,73.1
2023-04-04,30.0,81,6.43,6108,33.7,67.9
2023-06-16,45.5,78,7.0,7949,38.0,58.8
2023-05-05,38.5,78,6.44,6873,36.8,64.0
2023-02-10,27.3,85,6.54,4653,31.7,75.6
2023-06-22,45.7,75,7.01,7594,38.5,55.8
2023-06-26,43.5,77,7.11,7990,37.5,54.6
2023-01-08,20.4,90,5.81,4930,29.9,79.0
2023-07-16,48.5,72,7.1,8094,40.9,52.3
2023-02-06,26.6,86,6.23,5427,32.0,75.0
2023-03-12,29.9,88,5.72,5961,32.5,65.3
2023-05-06,39.3,81,6.95,6507,36.8,59.1
2023-04-02,35.4,84,6.43,6264,35.8,67.9
2023-06-21,45.2,76,7.31,7775,37.4,55.6
2023-03-09,30.8,84,6.69,5181,32.9,66.3
2023-06-10,40.9,78,6.45,7503,38.5,56.2
2023-06-18,47.9,75,6.45,7534,38.4,55.8
2023-05-27,40.1,77,6.37,7263,36.4,63.4
2023-01-05,23.3,87,5.69,4477,29.8,79.6
2023-06-04,43.1,77,6.88,7005,36.4,62.0
2023-06-22,45.7,79,7.11,7525,38.5,55.8
2023-03-21,34.9,83,6.72,5094,35.2,71.3
2023-06-13,45.7,77,6.77,7294,39.5,55.3
2023-04-01,31.9,81,6.34,6266,35.7,66.4
2023-06-07,46.2,76,6.77,7467,39.2,56.3
2023-03-07,30.7,82,6.19,6186,32.9,66.1
2023-05-07,36.4,78,6.2,6407,35.8,64.6
2023-06-16,44.2,78,7.48,7599,38.4,55.6
2023-01-05,23.3,87,6.02,4477,29.8,79.6
2023-06-16,46.6,78,7.01,8099,38.7,57.9
2023-07-15,47.5,73,7.17,8006,39.4,51.8
2023-06-17,45.2,77,6.59,7483,37.8,55.8
2023-04-10,32.9,82,6.47,5891,35.2,69.3
2023-07-05,47.4,78,7.15,7961,38.5,50.8
2023-02-20,30.9,86,6.47,5294,31.7,73.7
2023-06-15,41.7,77,7.21,7451,37.5,55.8
2023-03-20,34.1,84,6.88,5735,33.9,70.1
2023-04-14,32.6,84,6.69,5991,36.5,64.1
2023-04-23,35.5,84,6.52,6494,35.9,65.8
2023-06-13,44.2,80,7.2,7284,38.4,56.4
2023-02-28,30.0,86,6.04,5653,32.4,72.1
2023-01-01,23.5,91,5.32,4699,30.9,82.2
2023-04-08,32.2,82,6.43,6263,35.0,66.0
2023-03-26,30.5,88,6.16,5654,35.8,68.2
2023-01-18,25.7,88,5.95,4925,31.7,74.3
2023-02-02,25.9,88,6.07,4657,30.6,77.3
2023-05-03,38.3,79,6.46,6811,37.6,64.0
2023-04-18,36.3,83,6.57,7129,35.8,65.7
2023-01-22,25.7,85,6.47,4779,33.7,74.8
2023-01-24,28.0,87,5.85,4984,31.6,77.9
2023-01-27,23.4,88,5.69,4375,32.9,74.7
2023-04-03,32.0,82,6.43,6112,35.1,64.0
2023-02-27,29.4,84,5.89,5379,33.3,72.1
2023-03-27,34.5,79,5.97,5794,36.1,72.2
2023-03-22,32.6,88,6.22,5794,34.9,68.6
2023-02-09,24.5,89,5.69,4637,32.0,75.7
2023-07-13,49.6,73,7.0,7996,38.3,51.1
2023-03-03,23.8,86,6.12,5434,32.0,66.1
2023-03-01,29.4,87,5.86,5928,32.0,66.7
2023-06-04,43.1,78,6.95,7226,39.5,59.4
2023-01-15,25.3,90,6.16,4507,29.5,76.6
2023-04-12,32.2,83,6.44,6083,35.0,64.7
2023-01-24,28.0,87,6.62,4724,31.6,74.7
2023-07-17,47.7,74,7.28,8016,40.3,53.5
